transaction_id,amount,currency,transaction_datetime,sender_name,sender_address,receiver_name,receiver_address,memo,sender_entity_id,receiver_entity_id,memo_entity_ids
2f5cccc6-f2b3-442d-93b5-14eae8abc651,974674.51,CAD,2025-04-25T03:23:07,STEVEN FRAZIER,"22864 TRAN STATION SUITE 661, SOUTH JEFFREY, ON S1N3Y9",AMBER HOGAN,"871 EDWARD FREEWAY, SHERRYSHIRE, BC C8L 9B3",Wire transfer - 1GRERA2D,GEN-eb47a21edc15,GEN-392ffee5d2fa,
6ea9a683-d16c-4f83-b0e9-ca81c8493052,846981.74,CAD,2025-02-26T13:48:39,TIFFANY SMITH,"7890 BRITTANY DIVIDE, COLLINSVILLE, BC V9A1X3",KIMBERLY HOLMES,"2593 VAUGHN COVE, SPENCERTON, NT C3E8X2",Import/export settlement K88TCNYU,GEN-e60ee0ea023e,GEN-f72b04068f1c,
64a8c28b-4a93-4c60-9664-5bd71124229d,126612.6,CAD,2025-09-05T18:31:42,SUSANNE BEAUDRY-MALTAIS,"9020 RUE THEODORE, BAIE THOMAS, NU T3A6N8",AMY KING,"1545 KRISTOPHER EXPRESSWAY, JOSEPHTON, NS G5M7R5",Commercial payment ref Y269Y66G,GEN-7ef17c6e9d1a,GEN-66d0e8357cf6,
7cece577-97d1-4c5e-a804-8fe19ff308f7,143684.02,CAD,2025-05-09T10:42:33,RAMSEY AND SONS,"7841 LARRY COURSE, SOUTH BETHANY, NB P5V 2Y1",STEVEN HARRISON,"37781 NICOLE HOLLOW, JOSEPHSIDE, NL Y8N 2P3",Payment for invoice S18K2YOC,GEN-c7c7c582593f,GEN-ded41c278d6e,
93d5932e-9aa4-4c12-a436-9cdf7958a5ec,207672.67,CAD,2025-04-23T19:32:18,PATRICK PLOURDE,"3037 ALLE PICARD SUITE 744, FREDERIC OUEST, NL V2T1C7",SARA CUMMINGS,"128 WEAVER FORKS SUITE 003, PORT JILL, YT L6G 3S6",Import/export settlement 71PVQEAC,GEN-3c1706cf2cfb,GEN-2dae9b0c03d3,
6bf29bad-3247-4ea8-b1d4-df8af229f177,959904.61,USD,2025-11-25T13:02:30,CHRISTINA THOMPSON,"PSC 4527, BOX 8704, APO AA 73824",NICOLE TROTTIER,"122 MONTEE VANESSA APT. 458, CHARETTE, BC K5T6S1",Consulting services QMRDXM3Z,GEN-a706cca6d92a,GEN-5f0f3cbef3f6,
94c871c3-584c-4d1b-88ee-f7666cae26e8,315990.81,CAD,2025-04-07T05:36:31,LOGAN SMITH,"6353 SEAN LANE SUITE 943, GONZALESBURY, QC S8R6N7",ROBYN BAKER,"7464 NGUYEN FORK APT. 847, TUCKERPORT, NB P7V2P7",Funds transfer for ROBYN BAKER 4JH287S2,GEN-309c30f29a61,GEN-39ca3d4ec119,GEN-39ca3d4ec119
59c07ce2-db59-4fc9-a192-f750ec1ac78a,746887.64,USD,2025-02-07T12:54:58,SMITH-WELLS,"31663 SUMMER MEADOWS APT. 662, LAKE TIMOTHYBURGH, YT T8G 3L8",SHARON BRYANT,"618 FRANK WALKS, HODGEBURY, PE X2A1G8",Commercial payment - beneficiary SHARON BRYANT - TPREN4B7,GEN-7b1072e3309a,GEN-c42e876b2633,GEN-c42e876b2633
76d1f78d-6d57-4e09-9ba0-7743261ec4ef,588550.73,CAD,2025-10-03T14:13:19,JAMES POWELL,"82718 VICTORIA STREAM, NEW ANTHONY, AL 82274",JULIE BAKER,"5081 HOBBS SQUARES, JOSEPHBERG, NS H3B5K9",Commercial payment ref WM41M1DI,GEN-a2cafe6117a9,GEN-d4fe78b3ed8f,
1339b8b2-421e-4645-be1e-ffb1af006526,801114.03,CAD,2025-10-23T08:14:29,SHANE SNYDER,"91554 ROGERS MOUNTAINS APT. 983, SHEPHERDCHESTER, NB J7B 6L1",JOSEPH DUFOUR,"77255 ROUTE PAQUIN, BENOIT, NL G4A6H8",Payment for invoice RN3TAU1B,GEN-d5dcb8efacfd,GEN-013a0b148aeb,
7b23ba74-196d-4dd4-9ff6-f86c3a9926e0,867060.21,AUD,2025-01-31T10:18:13,RICHARD CHABOT,"1846 AVENUE DEMERS SUITE 417, MARGUERITE -SUR-MER, NL V1C2P2",SMITH-WALKER,"2446 TIFFANY RUE, SOUTH TRAVISBOROUGH, NU L7L6S7",Import/export settlement 8IQWWMVM,GEN-0bc03c583177,GEN-28904dc4c832,
ba8a6dd5-a020-4986-b6a1-d1d3cef52e42,480997.93,CAD,2025-11-27T15:35:33,RICHARD SMITH,"730 SCOTT EXPRESSWAY, SAMANTHATOWN, NU N4S6K5",TAMARA FOX,"53865 MICHAEL MALL APT. 252, CLARKBURGH, QC A2E 1J9","Trade settlement - address 730 SCOTT EXPRESSWAY, SAMANTHATOWN, NU N4S6K5 - SK8J1JUN",GEN-788251ca103f,GEN-cd861f24c93c,GEN-788251ca103f
1158d285-05e8-4131-bba6-0ddc7014ea44,250016.09,CAD,2025-04-29T00:44:55,THEODORE-ARTHUR LEFEBVRE,"1900 MONTEE ARSENAULT SUITE 959, BRISSON, PE A9B 7M2",JESSICA HOWARD,"322 FULLER SPRINGS SUITE 527, SOUTH WILLIAM, NU X9V3T9","Wire transfer - beneficiary THEODORE-ARTHUR LEFEBVRE / 1900 MONTEE ARSENAULT SUITE 959, BRISSON, PE A9B 7M2 - C8COSWHJ",GEN-6639aaeac1d5,GEN-9c139709fd9e,GEN-6639aaeac1d5
09deb159-50a8-4296-8480-124c65af9391,51608.87,CAD,2025-11-22T03:33:06,ETIENNE TRUDEL,"96653 BOULEVARD CELINA, VILLE-SAINT--BENOIT, BC B2R5C4",ANGELA HERNANDEZ,"631 CAROLYN OVAL, NEW ANA, NU J6G2S9",Investment proceeds 204RRDY1,GEN-cca1973f66f5,GEN-3e94c3dcc6c1,
02a29824-a0b2-455e-a371-d6edb135b01d,238488.11,CAD,2025-09-05T12:29:52,SUSAN SMITH,"6833 MICHELLE MOUNTAINS, SMITHTON, NU P6N5A8",BRIAN WELLS,"76729 ALICIA NECK SUITE 002, RICHARDSVILLE, MB J6Y 2A8",Payment to BRIAN WELLS ref I6PG55CF,GEN-99b3ea977a0a,GEN-cd37becddefc,GEN-cd37becddefc
9a53de82-abe0-4653-8710-472629068e0a,367094.38,CAD,2025-03-07T20:01:03,OSCAR STAFFORD,"0822 RAMOS SQUARES APT. 460, REBECCATON, AL 90774",BRIAN MILLER,"374 MCDONALD EXTENSIONS APT. 990, DAVIDPORT, PE J1P 3K8",Wire transfer - IUUSCWNX,GEN-31a7ec990ecc,GEN-b51a08e07fc6,
7ce10126-c71d-4323-ae3c-b4ccebefcf7d,79627.42,CAD,2025-09-02T23:33:31,BAIKAL ELECTRONICS JSC,"8411 SUMMER MEADOW SUITE 285, DELEONVIEW, MB R7S1H6",BENJAMIN JOHNSON,"991 WILLIS REST SUITE 704, ANDREWFURT, YT Y4T2E7",Operational expenses ERVZTY7N,NK-YPJWwBAGqGnYJowZ9WAXTV,GEN-89defe25e362,
92e3f1a6-b138-4f9b-80bf-ed37903c5501,157347.08,USD,2025-06-24T10:12:07,ANGELA HERNANDEZ,"51448 CROSBY CANYON APT. 703, LAKE KIMBERLYVIEW, WV 41153",CURRY AND SONS,"18757 JAMES RUE, NORTH PAM, AB L3G2V6",Trade settlement FEYLUUR1,GEN-5c67ff2c4511,GEN-faa9522f1848,
d5510bcf-dd81-4a49-94e4-3e9252f10fb4,131595.89,CAD,2025-05-16T11:02:35,"BODECARNE, S.A. DE C.V.","68359 CHEMIN REMY, SOUCY -SUR-MER, AB M1V1A3",JOHN VILLANUEVA,"316 STEWART POINT, KIRBYFURT, PE L5K 2M2",Commercial payment ref ILL2H0AU,NK-ZfPC6FA2VsGeT6M4A3wmi2,GEN-ee19aa3017f0,
a5dca8bf-60d8-4b4a-92c7-71e40e1b8e21,627918.51,CAD,2025-07-15T15:48:48,ERICA DELACRUZ,"29342 ANDERSON REST, NORTH MEGAN, BC G7R 8K8",JEFF ARNOLD,"99549 TOMMY POINTS, THOMASPORT, MP 83007",Payment for invoice ETTO0ZGG,GEN-8827b8cd0930,GEN-79edc7691d1e,
3d9f7140-ed45-43a0-967f-f42f66554e7b,881461.27,USD,2025-02-21T05:44:28,RENEE RICHER,"13444 ALLE GAGNE SUITE 939, MONT- LAETITIA, QC T9L 4E8",NICOLE MARTEL,"843 RANG CELINA, BLANCHETTE, SK C4E4R3",Payment to RENEE RICHER ref KFSM27L3,GEN-5ee1f4706a07,GEN-4f263e6d347e,GEN-5ee1f4706a07
52c481ea-390f-4966-9d66-f57324e287fc,104678.06,USD,2025-07-28T14:23:10,AMY RAMIREZ,"49880 STEVEN COVES SUITE 007, TIMOTHYMOUTH, DC 85450",DIXON PLC,"244 JOE MILLS, ARELLANOFORT, YT G2G4T3",Loan repayment WIC9OADH,GEN-d8ba439999a1,GEN-85c3b1f9e114,
553d83d9-eb05-4b5c-bff4-f2bf3c793d03,74100.42,CAD,2025-03-14T14:34:00,BRITTANY PATEL,"9525 KENNEDY SPRINGS, MICHAELHAVEN, NH 25694","DAVIS, LOPEZ AND PALMER","20107 ALAN POINT SUITE 596, JOHNSTONMOUTH, NU N7A8H2",Service fee payment 9TF3DSSQ,GEN-00acae4231b3,GEN-209b6a27111b,
cca99188-8cc7-4d6c-a758-88b934922d57,853089.76,CAD,2025-08-28T18:32:34,"JACKSON, NELSON AND CALDWELL","2805 MARTIN REST SUITE 336, WEBERBURGH, AB A4R2E2","HAMEL, PAQUIN AND LAMBERT","61461 ALLE MORISSETTE, BAIE JULIEN OUEST, YT B9V3X1",Operational expenses ZAS50B6Q,GEN-e3f2ce11cf0c,GEN-9d3fbaa65f3c,
8c849ab5-a00f-4ccf-a585-fd09d666ea9a,453952.94,CAD,2025-08-20T20:55:39,RAYMOND GIROUX,"7854 ALLE ELEONORE, SAINTE- BEAUCHAMP, NT J1L3B7",DORIS WOODS,"97860 HEATHER ROAD, PORT JOHN, MB A9K 2B9",Service fee payment 56PL8REP,GEN-4fd014f0c872,GEN-d48e869bf861,
1bb93ccc-2a6d-4ef0-b9f9-66c9c1a53629,176455.08,USD,2025-07-12T05:21:43,DWAYNE MOORE,"0539 CARLOS TRACE, TRACYPORT, QC L6Y 9Y9",STEPHANIE DONALDSON,"8926 AMANDA FORK APT. 835, EAST JOHNSHIRE, NU A4H 5X8",Wire transfer on behalf of BARRY MEYERS - ZD69KFDX,GEN-be8737f312dc,GEN-aed7a02dd5f6,GEN-bb207fc1ce3f
cc025392-67a2-4a8e-9d2a-fc60b872ac3c,606611.53,CAD,2025-04-17T16:34:23,EMMANUEL BLAIS,"300 ALLE SARAH SUITE 400, LILE--LA-BOISVERT, NB S8G 9B8",ANDREE SOUCY,"000 RUE BERTRAND APT. 455, SAINTE- ANDRE -SUR-MER, NS Y5E5X3","Delivery to 000 RUE BERTRAND APT. 455, SAINTE- ANDRE -SUR-MER, NS Y5E5X3 ref H1OY5OP8",GEN-bc79cebf2c80,GEN-334188c49371,GEN-334188c49371
697c8e91-303e-4dbf-bb2f-0366863063f1,488995.24,CAD,2025-03-26T01:22:46,VICTORIA CHAVEZ,"259 HUGHES ESTATE, COFFEYMOUTH, NB A6S 1A3",JAMES PAYNE,"871 NATHAN MISSION, LAKE JOSEPHHAVEN, NJ 99676",Payment for invoice WJ9I1944,GEN-706de3d50841,GEN-ca84381c5030,
15d97b7b-ab23-4705-86ca-ce0d64bc389c,653044.22,USD,2025-02-03T20:07:30,CALVIN WALTER,"15321 CYNTHIA VALLEY APT. 513, NEW ADAM, NT H1B9H4","MORALES, REESE AND NELSON","522 ERIN STRAVENUE, EAST KENNETH, YT A9M 3X1","Trade settlement - address 15321 CYNTHIA VALLEY APT. 513, NEW ADAM, NT H1B9H4 - DZSIARRO",GEN-35198e3b788b,GEN-7a7f5825bda7,GEN-35198e3b788b
a7dd4602-8f43-4f82-a1b8-f36f52c930a9,790866.62,USD,2025-10-14T03:36:31,ALAIN GAGNON,"66327 RANG PEPIN, SIMONE OUEST, AB K8C2G8",ALEXEY ALEKSANDROVICH KUPRIYANOV,"420 JOHNSON SUMMIT SUITE 032, REEDBURGH, MT 88906",Service fee payment IMQVLNOL,GEN-806c219b50e2,NK-AuFeB3GTofwsrX2Xyzb8iJ,
ee375c16-3e16-4949-ad90-bc7dd4ba2ec5,28405.41,USD,2025-12-08T03:21:13,TAYLOR MILLER,"213 SIMMONS SQUARE, WEST ALEXANDER, MB R7R 4S6",LU JIA MING,424 XIN ZHU XIN BU JIE 51HAO 2LOU,Service fee payment MYPZYBZD,GEN-64cdc56dc052,GEN-e4d74e400786,
23fb8103-36c6-4148-878e-2961534f8903,721084.4,CAD,2025-06-30T14:25:04,ALAN MCLAUGHLIN,"6149 GALLAGHER MOUNT SUITE 033, EAST MARYFORT, YT H8K2E9",AMY TAYLOR,"249 ELLIS ISLANDS APT. 618, MICHELLEBOROUGH, ON A1X 1C8",Operational expenses 1CN4QQ8X,GEN-3553e09b8b7e,GEN-09d8d8a70f59,
5c8517c2-7e75-4364-aca4-7bfb35248c58,783572.02,GBP,2025-10-04T23:28:25,JAMES PETERSON,"8341 HERRERA BROOKS APT. 618, HOLLYTOWN, MB Y6M5E9",MR. MATTHEW MCINTOSH,"27643 NATHAN TRAIL APT. 319, DORSEYMOUTH, QC B3J 1X2",Loan repayment VFEG1UAW,GEN-c04d0734b8fc,GEN-192d12d7e850,
79e2e77c-0dd2-44a9-99cf-5e15ddd8ac1b,163747.5,CAD,2025-02-18T23:07:18,"SUTTON, GORDON AND POTTER","8480 MANDY TRAIL, PORT DAWN, SK B8P 2T1",SAMANTHA RODRIGUEZ,"5829 BRADLEY BYPASS, BRANDONPORT, NL S8E1N6",Operational expenses NP4ZM2HR,GEN-6accd8a7c4fd,GEN-8fb03f42c981,
a9bb0d02-e7fb-4647-aae1-fe49fb7ebd35,840779.69,USD,2025-08-03T01:58:45,STEVE JOHNSON,"944 MCDOWELL LODGE APT. 210, DEBRATON, PE N4R 2K5",SAMANTHA BAIRD,"78488 MELANIE CIRCLES SUITE 220, HARVEYVIEW, NU N9R8P4",Commercial payment ref 2NTP2CY3,GEN-586cfa22ed7e,GEN-eafa317e6634,
96445e93-88b8-408a-823a-31609a9c508f,433467.34,USD,2025-01-20T12:37:23,GONZALES-COOPER,"0850 BOWEN TERRACE SUITE 153, PORT ANGELA, AB T4V 8C8",LIU ZHI HAO,31617 HUA LIAN QI YAN JIE 1DUAN 8HAO ZHI 8,Wire transfer - 6NP6AFX3,GEN-8ac7f717d4e3,GEN-50ba9d0f98e3,
398998e9-afb0-4412-93f4-19372e8e6a67,245776.08,CAD,2025-05-20T11:02:16,SUSAN WOOD,"9031 MCMAHON REST, JENNIFERLAND, BC V3V8V3",CHARLOTTE CASTRO,"4843 STANLEY ROAD SUITE 510, SNYDERTOWN, NB K4T6V8",Service fee payment HFG0X63S,GEN-6514ba5929c9,GEN-5ba01ff74ed0,
efeb28a1-0fa9-40db-b4a1-f50cc00baafc,312151.98,CAD,2025-08-12T18:41:41,GARCIA-SIMMONS,"25502 GARZA PARKS SUITE 655, RACHELSIDE, QC T6T4N8",SANDRA FRAZIER,"88055 JULIE FIELDS SUITE 027, ANDREWTON, NT C3T 3K5",Loan repayment FPHG8C4R,GEN-ff18b9b669e6,GEN-32215cbf5c0f,
169f3abd-2c9b-4863-a1ac-8358a4e7db57,58764.33,USD,2025-03-31T00:01:49,MASON GROUP,"492 CROSS CLUB SUITE 434, RICHARDFURT, MS 91244",JENNIFER BAKER,"05380 GREGG BURGS APT. 757, PORT JAMES, CO 33545",Investment proceeds D7VHNGCB,GEN-4b500aea0acf,GEN-a8ff5f28b937,
d809bb09-da04-4170-8bd1-097a52bc237f,201203.73,CAD,2025-05-21T19:15:31,DANIEL MEYER,"43033 COLLINS HIGHWAY, PORT ALLENHAVEN, RI 58218",TONY FLEMING,"55854 ANTHONY MEADOW, EAST CHRISTINE, NS N7G 7Y7",Funds transfer for DANIEL MEYER 70DWE64K,GEN-20670231d795,GEN-69833eba3ca8,GEN-20670231d795
7bac19e3-f7a3-4343-bad5-44323e2c7679,166903.56,USD,2025-04-30T12:52:28,"LAWSON, GARCIA AND ACOSTA","274 MICHAEL VILLAGE SUITE 090, AMANDABOROUGH, ON P6L7N4",CASSANDRA JOHNSON,"90907 DUNCAN MOUNT SUITE 978, WEST DOMINICTON, MB B6N 4P3",Payment to CASSANDRA JOHNSON ref 016TMKHP,GEN-ab1a2db84c6e,GEN-8c5da67cf924,GEN-8c5da67cf924
2361a1f7-3d20-4588-b4e5-41ef08c8ffad,664131.17,USD,2025-10-15T00:07:09,BILL MENDEZ,"986 RODRIGUEZ WAY, SNYDERTOWN, NU H4R 2P5",JENNIFER CROSS,"9576 COLEMAN ROADS APT. 321, LAKE MELANIEMOUTH, QC C4R6R7",Consulting services OQP3B5PH,GEN-1db862dd1128,GEN-0190b543c575,
1122e795-c02c-4103-a0c0-01c478b8b90c,585161.44,USD,2025-07-08T19:15:59,THEODORE THERRIEN-TURCOTTE,"8419 ALLE SUSANNE APT. 138, LA-LA-DROLET, BC A7C 2G6","JONES, LAMB AND FRANCO","61624 KIARA VILLE APT. 773, NEW NICHOLE, MB C7G5A9",Operational expenses I9L04572,GEN-c5148e50fa7b,GEN-3623b3c91478,
12a54652-d66c-44ad-b0c4-a2d30902a83a,34180.11,CAD,2025-06-18T18:48:54,BEDARD AND SONS,"075 ALLE GABRIELLE, BAIE LORRAINE, ON E6K1H2",DANIEL ROBERT,"0258 ALLE NATHAN APT. 390, SAINTE- VINCENT OUEST, YT K7X 9R9",Wire transfer - 7MERD4ID,GEN-bbadee5a86cc,GEN-e980881f1ca2,
26b83938-3704-4cd0-8247-df4114b9c0a4,340662.79,USD,2025-11-12T03:06:17,GIMCAEWEON,JEONRABUGDO YIJEONGBUSI SEOGCONHOSU79RO 554,SHANE DAVIS,"74980 MARK NECK, SOUTH KELLYPORT, NU S4C 6A8",Trade settlement 32KUS4V7,GEN-067f219a94e3,GEN-34ca5b09d81a,
367d9f82-fc7e-4e4c-a939-dd447670d9d1,290235.04,USD,2025-01-23T12:48:22,ROBERT FLORES,"6740 MARKS FORK APT. 387, HARPERBURY, ID 51016","BODECARNE, S.A. DE C.V.","6842 CHEMIN BRIGITTE, MONT- JEANNE, SK T2X2B4",Trade settlement TSM6Y7L6,GEN-e75b458d24fe,NK-ZfPC6FA2VsGeT6M4A3wmi2,
3664f30a-59c3-4920-82a5-7549092d9064,90365.4,CAD,2025-01-09T16:15:01,KATHERINE BAIRD,"95310 HANSON WALL, NEW MARISSALAND, PE Y7C 9L8",ANDREA QUINN,"8387 HEATHER STRAVENUE, PORT STEPHANIE, IL 49283",Loan repayment B4G4Y19F,GEN-595ea4a8437f,GEN-263f8d23cb0d,
acaf5941-8bd1-4c3a-b2e6-8666a8bbf292,867462.96,CAD,2025-02-08T15:43:51,LEWIS-WISE,"56289 BAKER MALL, LOVEBURY, NT X3M6V8","VAUGHAN, RIOS AND ORR","301 WATSON BROOKS, EAST PATRICK, YT H8A 7P3",Trade settlement QTW3VFUQ,GEN-594aa97a287f,GEN-eea324a059d7,
1ec7cac4-1a36-4461-a213-6ad018aad32a,799672.6,USD,2025-12-05T18:08:59,JACKSON-CONTRERAS,"321 DENISE LANDING SUITE 892, TRACYFURT, AB L5K 8P7",FLORENCE FORTIER,"6116 MONTEE CATHERINE, DUBE -SUR-MER, QC T3A8J7","Payment for services at 6116 MONTEE CATHERINE, DUBE -SUR-MER, QC T3A8J7 M9EB3C1J",GEN-c66f81613eba,GEN-a99888b38053,GEN-a99888b38053
df37f2a1-f9df-49a5-bdfa-78bef6bda3c3,474868.88,AUD,2025-10-08T09:07:40,LIMITED LIABILITY COMPANY KRDV KAMCHATKA,"14676 SMITH MOUNTAIN SUITE 781, NORTH CHADFURT, WA 72771",PAMELA BAKER,"25537 BROOKS ROAD SUITE 817, BRIDGETLAND, MB L9T 3Y3",Trade settlement WR20NDZ2,NK-hTKjMkPXxNSHLWNE2xs3Us,GEN-443fe67e9f42,
2165994f-7bf7-45e8-b9f0-86363c9542d7,166447.73,CAD,2025-09-09T07:09:35,ANDERSON LLC,"634 TAYLOR VILLE APT. 188, CHUNGLAND, MB J4P 7S1",EMILY OWENS,"9902 EVANS FALL APT. 028, PORT CRISTIAN, AB P6M 4L2",Commercial payment ref FA4Y6D6H,GEN-88de78c7bd79,GEN-0d4f2f075253,
255567a2-c648-40b4-8c77-92b60aeddc58,954527.49,USD,2025-10-15T01:51:47,BERTRAND LEMAY,"91128 RANG GIRARD SUITE 274, SAINTE- LEPAGE, MB R3Y3N6","MILLER, NELSON AND DECKER","8064 VAUGHAN LOOP SUITE 137, SOUTH STEVE, SK C3G4C3","Commercial payment - beneficiary MILLER, NELSON AND DECKER - XR4MTKWY",GEN-9400d4fd64a2,GEN-87cce46fd9e3,GEN-87cce46fd9e3
404ec4dd-d438-4fa5-b1c0-a657cc0581fa,891952.93,USD,2025-09-19T14:26:30,RUBEN JONES,"7170 ANDREA VIEW, WATSONSTAD, NB J8K1S7",IAN DELEON,"80056 WILLIAMS SUMMIT, AMANDATOWN, TN 10273","Payment for services at 892 MCCLURE COVES SUITE 824, LAKE KENNETHPORT, UT 28134 2MAIAINB",GEN-58b81f887c50,GEN-74faadeed1d1,GEN-47831e0b89b9
f0d996dd-2f6a-4454-8804-7b495200d13f,454675.6,CAD,2025-06-28T15:28:17,STEPHEN SCHNEIDER,"84584 RODRIGUEZ WAYS APT. 691, KRISTINACHESTER, NL H9X 5Y6",BRISSON-ST-PIERRE,"1887 CHEMIN PLOURDE APT. 772, MARTEL, BC X2L 3E2",Payment for invoice YPZ4WYCT,GEN-5c2ef2173ea1,GEN-0fdc14f0c087,
fc84a03a-7138-41fe-a3db-35b0ea190eb2,907669.28,CAD,2025-02-11T04:46:37,LINDA WRIGHT,"201 ERIN STATION SUITE 967, PORT FRANKBURGH, SK B5P 2H4",KRISTINE HORTON MD,"00124 GREEN GROVE SUITE 574, SARAHBURY, BC B6P4C8",Service fee payment DKPEAHE3,GEN-4f598952f4ab,GEN-d3e4415c759a,
a447c3d2-7f3a-40a2-8e61-a0f3eba1e5d3,214790.64,CAD,2025-09-21T00:35:47,GIMMINSEO,GYEONGSANGBUGDO GWANGJUSI ABGUJEONGGIL 800,KENNETH GLASS,"07566 PARKS GROVE, LAWRENCETON, AK 91945",Commercial payment ref Z4X8F7JV,GEN-75d2328f15a7,GEN-39d36b5b3b5f,
0f8edc4a-3771-45de-a373-b495ff872d44,874551.01,CAD,2025-11-21T03:06:22,REBECCA MORALES,"776 AMY SQUARE SUITE 225, NORTH KATHRYNBURGH, AB P9B3E7",STEPHANIE HERNANDEZ,"782 LIVINGSTON RANCH, KARENBERG, SC 04395",Operational expenses B1QUPZD6,GEN-1695ba3b6df9,GEN-fe21c270d723,
0d03243f-06dd-4099-8921-63b56b75ee15,507197.51,CAD,2025-02-01T03:35:13,VICTORIA PENNINGTON,"445 CURRY VILLAGE APT. 219, EAST MELINDALAND, QC B3P6M2",ALAN EDWARDS,"75987 SEAN MILL, EAST LORIBOROUGH, NL J3B 7E9",Import/export settlement XDMYSLNA,GEN-8301be5f3f57,GEN-d6fbdcae41c4,
044fe75d-33e8-4a83-bab7-e3086c54c87b,269420.61,USD,2025-09-16T16:41:13,SHIELDS GROUP,"3692 MORAN PLAIN APT. 856, JULIEBURGH, MB N8X4J1",BRYANT-MYERS,"97597 EVAN SPRINGS, PORT BRANDON, NT C1T 4S7",Operational expenses JKPXBNVD,GEN-1f3e5ca6e5b5,GEN-7b1be0df65f1,
